All Ordinaries Index (1 February 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
BWX,BWX Limited,Consumer Staples,"414,409,000",0.02,,,
BXB,Brambles Limited,Industrials,"16,330,000,000",0.94,,,
CAB,Cabcharge Australia Limited,Industrials,"438,368,000",0.03,,,
CAJ,Capitol Health Limited,Health Care,"65,383,800",0,,,
CAQ,CAQ Holdings Limited,Real Estate,"91,690,600",0.01,,,
CAR,Carsales.com Limited,Information Technology,"2,474,490,000",0.14,,,
CBA,Commonwealth Bank of Australia,Financials,"141,335,000,000",8.16,,,
CCL,Coca-cola Amatil Limited,Consumer Staples,"7,467,910,000",0.43,,,
CCP,Credit Corp Group Limited,Financials,"833,895,000",0.05,,,
CCV,Cash Converters International,Consumer Discretionary,"175,032,000",0.01,,,
CDA,Codan Limited,Information Technology,"370,374,000",0.02,,,
CDD,Cardno Limited,Industrials,"589,896,000",0.03,,,
CDP,Carindale Property Trust Unit,Real Estate,"546,000,000",0.03,,,
CDU,Cudeco Limited,Materials,"141,940,000",0.01,,,
CEN,Contact Energy Limited NZX,Utilities,"832,362,000",0.05,,,
CGC,Costa Group Holdings Limited,Consumer Staples,"1,046,580,000",0.06,,,
CGF,Challenger Limited,Financials,"6,225,510,000",0.36,,,
CGL,The Citadel Group Limited,Information Technology,"239,425,000",0.01,,,
CHC,Charter Hall Group Forus,Real Estate,"1,952,160,000",0.11,,,
CII,Ci Resources Limited,Materials,"186,086,000",0.01,,,
CIM,Cimic Group Limited,Industrials,"11,154,300,000",0.64,,,
CIP,Centuria Industrial Reit Ord Unit,Real Estate,"529,893,000",0.03,,,
CKF,Collins Foods Limited,Consumer Discretionary,"568,527,000",0.03,,,
CL1,Class Limited,Information Technology,"314,302,000",0.02,,,
CLH,Collection House Limited,Industrials,"172,580,000",0.01,,,
CMA,Centuria Metropolitan Reit Stapled,Real Estate,"268,667,000",0.02,,,
CMW,Cromwell Property Group Stapled,Real Estate,"1,714,920,000",0.1,,,
CNU,Chorus Limited NZX,Telecommunication Services,"1,603,540,000",0.09,,,
COH,Cochlear Limited,Health Care,"7,232,310,000",0.42,,,
CPU,Computershare Limited,Information Technology,"7,085,850,000",0.41,,,
CQR,Charter Hall Retail Reit Unit,Real Estate,"1,710,060,000",0.1,,,
CSL,CSL Limited,Health Care,"51,608,400,000",2.98,,,
CSR,CSR Limited,Materials,"2,239,900,000",0.13,,,
CSV,CSG Limited,Information Technology,"242,996,000",0.01,,,
CTD,Corporate Travel Management Limited,Consumer Discretionary,"1,807,940,000",0.1,,,
CTX,Caltex Australia Limited,Energy,"7,396,590,000",0.43,,,
CUA,Centuria Urban Reit Ord Unit,Real Estate,"161,215,000",0.01,,,
CUP,Countplus Limited,Industrials,"94,233,600",0.01,,,
CUV,Clinuvel Pharmaceuticals Limited,Health Care,"371,780,000",0.02,,,
CVC,CVC Limited,Financials,"221,213,000",0.01,,,
CVN,Carnarvon Petroleum Limited,Energy,"101,093,000",0.01,,,
CVO,Cover-more Group Limited,Financials,"731,697,000",0.04,,,
CVT,Covata Limited,Information Technology,"47,408,300",0,,,
CVW,Clearview Wealth Limited,Financials,"855,625,000",0.05,,,
CWN,Crown Resorts Limited,Consumer Discretionary,"8,296,410,000",0.48,,,
CWP,Cedar Woods Properties Limited,Real Estate,"429,171,000",0.02,,,
CWY,Cleanaway Waste Management Limited,Industrials,"1,781,840,000",0.1,,,
CYB,CYBG PLC Cdi 1:1,Financials,"3,255,670,000",0.19,,,
CZA,Coal of Africa Limited,Energy,"88,642,100",0.01,,,
CZZ,Capilano Honey Limited,Consumer Staples,"149,428,000",0.01,,,
DCG,Decmil Group Limited,Industrials,"173,454,000",0.01,,,
DCN,Dacian Gold Limited,Materials,"351,088,000",0.02,,,
DDR,Dicker Data Limited,Information Technology,"388,814,000",0.02,,,
DFM,Dongfang Modern Agriculture Holding Group Limited,Consumer Staples,"317,159,000",0.02,,,
DLX,Duluxgroup Limited,Materials,"2,354,960,000",0.14,,,
DME,Dome Gold Mines Limited,Materials,"61,740,900",0,,,
DMP,Domino's Pizza Enterprises Limited,Consumer Discretionary,"5,066,950,000",0.29,,,
DNA,Donaco International Limited,Consumer Discretionary,"315,860,000",0.02,,,
DOW,Downer Edi Limited,Industrials,"2,654,910,000",0.15,,,
