All Ordinaries Index (1 February 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
SBM,ST Barbara Limited,Materials,"1,178,670,000",0.07,,,
SCG,Scentre Group Stapled,Real Estate,"23,533,400,000",1.36,,,
SCP,Shopping Centres Australasia Property Group Stapled,Real Estate,"1,619,200,000",0.09,,,
SDA,Speedcast International Limited,Telecommunication Services,"838,264,000",0.05,,,
SDF,Steadfast Group Limited,Financials,"1,701,940,000",0.1,,,
SDG,Sunland Group Limited,Real Estate,"274,415,000",0.02,,,
SEA,Sundance Energy Australia Limited,Energy,"199,896,000",0.01,,,
SEH,Sino Gas & Energy Holdings Limited,Energy,"229,647,000",0.01,,,
SEK,Seek Limited,Industrials,"5,032,750,000",0.29,,,
SEN,Senetas Corporation Limited,Information Technology,"118,782,000",0.01,,,
SFH,Specialty Fashion Group Limited,Consumer Discretionary,"103,808,000",0.01,,,
SFR,Sandfire Resources NL,Materials,"1,033,170,000",0.06,,,
SGF,SG Fleet Group Limited,Industrials,"845,123,000",0.05,,,
SGH,Slater & Gordon Limited,Consumer Discretionary,"88,094,500",0.01,,,
SGM,Sims Metal Management Limited,Materials,"2,234,930,000",0.13,,,
SGP,Stockland Stapled,Real Estate,"10,558,100,000",0.61,,,
SGR,The Star Entertainment Group Limited,Consumer Discretionary,"3,930,200,000",0.23,,,
SHJ,Shine Corporate LTD,Consumer Discretionary,"121,213,000",0.01,,,
SHL,Sonic Healthcare Limited,Health Care,"8,717,850,000",0.5,,,
SHV,Select Harvests Limited,Consumer Staples,"401,971,000",0.02,,,
SIO,Simonds Group Limited,Consumer Discretionary,"56,817,500",0,,,
SIP,Sigma Pharmaceuticals Limited,Health Care,"1,292,490,000",0.07,,,
SIQ,Smartgroup Corporation LTD,Industrials,"762,939,000",0.04,,,
SIT,Site Group International Limited,Consumer Discretionary,"63,961,500",0,,,
SIV,Silver Chef Limited,Industrials,"322,901,000",0.02,,,
SKB,Skydive The Beach Group Limited,Consumer Discretionary,"251,746,000",0.01,,,
SKC,Skycity Entertainment Group Limited NZX,Consumer Discretionary,"2,362,960,000",0.14,,,
SKI,Spark Infrastructure Group Forus,Utilities,"3,969,550,000",0.23,,,
SKT,SKY Network Television Limited NZ,Consumer Discretionary,"1,704,430,000",0.1,,,
SLC,Superloop Limited,Telecommunication Services,"430,142,000",0.02,,,
SLK,Sealink Travel Group Limited,Consumer Discretionary,"468,343,000",0.03,,,
SLM,Salmat Limited,Industrials,"121,794,000",0.01,,,
SLR,Silver Lake Resources Limited,Materials,"334,966,000",0.02,,,
SMA,Smarttrans Holdings LTD,Information Technology,"30,528,100",0,,,
SMX,SMS Management & Technology Limited,Information Technology,"111,227,000",0.01,,,
SOL,Washington H Soul Pattinson & Company Limited,Energy,"3,732,170,000",0.22,,,
SOM,Somnomed Limited,Health Care,"197,688,000",0.01,,,
SPK,Spark New Zealand Limited NZX,Telecommunication Services,"6,157,450,000",0.36,,,
SPL,Starpharma Holdings Limited,Health Care,"276,441,000",0.02,,,
SPO,Spotless Group Holdings Limited,Industrials,"1,037,880,000",0.06,,,
SRF,Surfstitch Group Limited,Consumer Discretionary,"51,382,200",0,,,
SRV,Servcorp Limited,Real Estate,"625,045,000",0.04,,,
SRX,Sirtex Medical Limited,Health Care,"820,443,000",0.05,,,
SSM,Service Stream Limited,Industrials,"418,142,000",0.02,,,
SST,Steamships Trading Company Limited 50T,Industrials,"651,173,000",0.04,,,
STO,Santos Limited,Energy,"8,107,930,000",0.47,,,
SUL,Super Retail Group Limited,Consumer Discretionary,"1,907,310,000",0.11,,,
SUN,Suncorp Group Limited,Financials,"17,004,800,000",0.98,,,
SVW,Seven Group Holdings Limited,Industrials,"2,092,430,000",0.12,,,
SWM,Seven West Media Limited,Consumer Discretionary,"1,251,670,000",0.07,,,
SXL,Southern Cross Media Group Limited,Consumer Discretionary,"1,141,990,000",0.07,,,
SXY,Senex Energy Limited,Energy,"346,308,000",0.02,,,
SYD,Sydney Airport Forus,Industrials,"13,296,500,000",0.77,,,
SYR,Syrah Resources Limited,Materials,"799,185,000",0.05,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"3,967,520,000",0.23,,,
TBR,Tribune Resources Limited,Materials,"300,018,000",0.02,,,
TCH,Touchcorp Limited,Information Technology,"140,709,000",0.01,,,
TCL,Transurban Group Stapled,Industrials,"21,122,100,000",1.22,,,
TEN,TEN Network Holdings Limited,Consumer Discretionary,"325,941,000",0.02,,,
TFC,TFS Corporation Limited,Materials,"616,516,000",0.04,,,
TGA,Thorn Group Limited,Consumer Discretionary,"272,185,000",0.02,,,
TGP,360 Capital Group Stapled,Real Estate,"210,850,000",0.01,,,
TGR,Tassal Group Limited,Consumer Staples,"688,290,000",0.04,,,
TGS,Tiger Resources Limited,Materials,"83,341,700",0,,,
TLS,Telstra Corporation Limited,Telecommunication Services,"60,299,000,000",3.48,,,
TME,Trade Me Group Limited NZX,Consumer Discretionary,"1,934,180,000",0.11,,,
TNE,Technology One Limited,Information Technology,"1,594,690,000",0.09,,,
TNG,TNG Limited,Materials,"128,562,000",0.01,,,
TOE,Toro Energy Limited,Energy,"108,436,000",0.01,,,
TOX,TOX Free Solutions Limited,Industrials,"512,018,000",0.03,,,
TPE,Tpi Enterprises Limited,Health Care,"136,282,000",0.01,,,
TPM,TPG Telecom Limited,Telecommunication Services,"5,396,290,000",0.31,,,
TRS,The Reject Shop Limited,Consumer Discretionary,"244,152,000",0.01,,,
TTC,Traditional Therapy Clinics Limited,Health Care,"116,994,000",0.01,,,
TTS,Tatts Group Limited,Consumer Discretionary,"6,299,950,000",0.36,,,
TWE,Treasury Wine Estates Limited,Consumer Staples,"8,473,790,000",0.49,,,
TZN,Terramin Australia Limited,Materials,"233,480,000",0.01,,,
UBN,Urbanise.com Limited,Information Technology,"34,846,500",0,,,
UOS,United Overseas Australia Limited,Real Estate,"337,671,000",0.02,,,
URF,US Masters Residential Property Fund Ord Units,Real Estate,"694,814,000",0.04,,,
VAH,Virgin Australia Holdings Limited,Industrials,"1,860,790,000",0.11,,,
VCX,Vicinity Centres Stapled,Real Estate,"11,321,700,000",0.65,,,
VLA,Viralytics Limited,Health Care,"246,298,000",0.01,,,
VLW,Villa World Limited,Real Estate,"273,762,000",0.02,,,
VOC,Vocus Group Limited,Telecommunication Services,"2,462,800,000",0.14,,,
VRL,Village Roadshow Limited,Consumer Discretionary,"637,452,000",0.04,,,
VRT,Virtus Health Limited,Health Care,"431,623,000",0.02,,,
VTG,Vita Group Limited,Consumer Discretionary,"471,102,000",0.03,,,
VVR,Viva Energy Reit Stapled,Real Estate,"1,580,450,000",0.09,,,
WBA,Webster Limited,Consumer Staples,"474,619,000",0.03,,,
WBC,Westpac Banking Corporation,Financials,"107,378,000,000",6.2,,,
WCB,Warrnambool Cheese & Butter Factory Co.hold.ltd,Consumer Staples,"686,009,000",0.04,,,
WEB,Webjet Limited,Consumer Discretionary,"1,113,160,000",0.06,,,
WES,Wesfarmers Limited,Consumer Staples,"46,210,200,000",2.67,,,
WFD,Westfield Corporation Stapled,Real Estate,"18,453,400,000",1.07,,,
WGX,Westgold Resources Limited,Materials,"615,436,000",0.04,,,
WHC,Whitehaven Coal Limited,Energy,"2,985,790,000",0.17,,,
WLD,Wellard Limited,Consumer Staples,"82,000,000",0,,,
WLF,Wolf Minerals Limited,Materials,"86,809,800",0.01,,,
WLL,Wellcom Group Limited,Industrials,"203,461,000",0.01,,,
WOR,Worleyparsons Limited,Energy,"2,454,200,000",0.14,,,
WOW,Woolworths Limited,Consumer Staples,"32,320,000,000",1.87,,,
WPL,Woodside Petroleum Limited,Energy,"26,958,200,000",1.56,,,
WPP,WPP Aunz LTD,Consumer Discretionary,"899,020,000",0.05,,,
WSA,Western Areas Limited,Materials,"675,137,000",0.04,,,
WTC,Wisetech Global Limited,Information Technology,"1,511,270,000",0.09,,,
WTP,Watpac Limited,Industrials,"139,514,000",0.01,,,
XIP,Xenith IP Group Limited,Industrials,"181,565,000",0.01,,,
XRO,Xero Limited NZX,Information Technology,"2,532,210,000",0.15,,,
YAL,Yancoal Australia Limited,Energy,"487,196,000",0.03,,,
YOW,Yowie Group LTD,Consumer Staples,"108,869,000",0.01,,,
ZEL,Z Energy Limited NZX,Energy,"2,800,000,000",0.16,,,
ZIM,Zimplats Holdings Limited 10CUS,Materials,"645,826,000",0.04,,,
